ts,open,high,low,close,volume
2026-06-27 16:35:00+00:00,4092.49,4092.49,4091.98,4091.99,3.28
2026-06-27 16:40:00+00:00,4091.99,4093.83,4091.98,4092.64,63.72
2026-06-27 16:45:00+00:00,4092.64,4092.64,4092.31,4092.62,5.24
2026-06-27 16:50:00+00:00,4092.62,4093.04,4092.57,4092.84,5.83
2026-06-27 16:55:00+00:00,4092.84,4092.84,4092.8,4092.81,5.29
2026-06-27 17:00:00+00:00,4092.81,4092.84,4090.0,4090.68,31.54
2026-06-27 17:05:00+00:00,4090.68,4091.06,4087.91,4088.4,43.56
2026-06-27 17:10:00+00:00,4088.4,4089.9,4086.56,4088.25,36.73
2026-06-27 17:15:00+00:00,4088.25,4088.25,4085.58,4087.58,18.17
2026-06-27 17:20:00+00:00,4087.58,4087.58,4082.46,4082.46,56.79
2026-06-27 17:25:00+00:00,4082.46,4083.55,4081.85,4083.26,10.5
2026-06-27 17:30:00+00:00,4083.26,4083.54,4082.9,4083.53,15.17
2026-06-27 17:35:00+00:00,4083.53,4084.72,4083.3,4084.26,6.37
2026-06-27 17:40:00+00:00,4084.26,4085.06,4084.16,4084.16,3.03
2026-06-27 17:45:00+00:00,4084.16,4084.83,4084.16,4084.82,0.98
2026-06-27 17:50:00+00:00,4084.82,4085.31,4084.3,4085.31,4.79
2026-06-27 17:55:00+00:00,4085.31,4086.57,4085.31,4085.34,9.28
2026-06-27 18:00:00+00:00,4085.34,4085.89,4085.34,4085.89,2.32
2026-06-27 18:05:00+00:00,4085.89,4087.59,4085.89,4087.59,7.66
2026-06-27 18:10:00+00:00,4087.59,4087.59,4086.83,4086.83,5.74
2026-06-27 18:15:00+00:00,4086.83,4087.01,4086.83,4086.99,2.99
2026-06-27 18:20:00+00:00,4086.99,4086.99,4086.46,4086.56,0.74
2026-06-27 18:25:00+00:00,4086.56,4086.87,4085.9,4085.91,1.23
2026-06-27 18:30:00+00:00,4085.91,4085.91,4085.28,4085.83,2.2
2026-06-27 18:35:00+00:00,4085.83,4086.14,4085.55,4085.56,0.31
2026-06-27 18:40:00+00:00,4085.56,4086.11,4085.56,4085.95,4.17
2026-06-27 18:45:00+00:00,4085.95,4087.44,4085.57,4085.58,9.76
2026-06-27 18:50:00+00:00,4085.58,4085.82,4085.58,4085.77,0.72
2026-06-27 18:55:00+00:00,4085.77,4086.32,4085.77,4086.32,2.09
2026-06-27 19:00:00+00:00,4086.32,4086.99,4085.53,4085.92,8.09
2026-06-27 19:05:00+00:00,4085.92,4086.09,4085.68,4085.68,1.19
