event_ts,event_type,logged_at,status,pre_close,ev_open,ev_high,ev_low,ev_close,ev_range,pre_atr,ema_slope,trend_dir,status_detail,direction,entry_ts,entry_price,exit_ts,exit_price,stop_price,target_price,exit_reason,gross_pnl,net_pnl,mfe_dollars,mae_dollars,what_if_opp_dir_pnl
2025-05-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.462947+00:00,traded,3253.10009765625,3253.0,3253.800048828125,3241.60009765625,3246.39990234375,12.199951171875,12.17996826171875,-2.8852291429338948,DOWN,,-1.0,2025-05-13 13:00:00+00:00,3240.3821008300783,2025-05-13 14:00:00+00:00,3252.5820520019533,3252.5820520019533,3215.9821984863283,stop,-1219.9951171875,-1243.9951171875,1088.2100830078343,-1301.7801513671657,
2025-06-06 12:30:00+00:00,JOBS,2026-06-19 19:26:19.464326+00:00,traded,3381.699951171875,3381.5,3385.199951171875,3345.10009765625,3376.199951171875,40.099853515625,18.2599853515625,-0.8044711055017615,DOWN,,-1.0,2025-06-06 14:00:00+00:00,3343.274099121094,2025-06-06 20:00:00+00:00,3331.0,3383.373952636719,3263.074392089844,time,1227.4099121093968,1203.4099121093968,3727.409912109397,-2452.594970703103,
2025-06-12 12:30:00+00:00,CPI,2026-06-19 19:26:19.465800+00:00,traded,3399.699951171875,3399.5,3411.39990234375,3378.89990234375,3409.199951171875,32.5,23.03497314453125,3.845565744776195,UP,,1.0,2025-06-12 13:00:00+00:00,3413.703399658203,2025-06-12 19:00:00+00:00,3408.5,3381.203399658203,3478.703399658203,time,-520.3399658203125,-544.3399658203125,609.6649169921875,-2810.3302001953125,
2025-06-18 18:00:00+00:00,FOMC,2026-06-19 19:26:19.467306+00:00,traded,3403.5,3403.5,3414.199951171875,3396.0,3397.10009765625,18.199951171875,9.26502685546875,-0.19629607643673808,DOWN,,-1.0,2025-06-18 19:00:00+00:00,3395.073497314453,2025-06-19 02:00:00+00:00,3393.89990234375,3413.273448486328,3358.673594970703,time,117.35949707031068,93.35949707031068,1497.3399658203107,-1012.6453857421893,
2025-07-04 12:30:00+00:00,JOBS,2026-06-19 19:26:19.468800+00:00,no_trade_taken,3344.60009765625,3344.5,3348.0,3341.10009765625,3343.699951171875,6.89990234375,8.214990234375,0.08683421698788152,UP,,,,,,,,,,,,,,
2025-07-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.470030+00:00,traded,3358.699951171875,3358.89990234375,3369.199951171875,3355.60009765625,3367.0,13.599853515625,7.77994384765625,4.01153103284787,UP,,1.0,2025-07-11 13:00:00+00:00,3369.9779455566404,2025-07-11 19:00:00+00:00,3371.60009765625,3356.3780920410154,3397.1776525878904,time,162.21520996095933,138.21520996095933,1162.2152099609593,-827.7994384765407,
2025-07-30 18:00:00+00:00,FOMC,2026-06-19 19:26:19.471521+00:00,no_trade_taken,3354.89990234375,3354.39990234375,3358.5,3276.10009765625,3332.300048828125,82.39990234375,38.86497802734375,2.5057158428976436,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2025-08-01 12:30:00+00:00,JOBS,2026-06-19 19:26:19.472673+00:00,traded,3352.199951171875,3352.39990234375,3398.60009765625,3295.199951171875,3394.300048828125,103.400146484375,54.8399658203125,0.41173759594084913,UP,,1.0,2025-08-01 13:00:00+00:00,3404.084094238281,2025-08-01 19:00:00+00:00,3410.10009765625,3300.683947753906,3610.884387207031,time,601.6003417968932,577.6003417968932,1041.5905761718932,-6488.414306640607,
2025-08-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.474161+00:00,no_trade_taken,3413.5,3413.5,3414.89990234375,3404.89990234375,3408.0,10.0,7.360009765625,0.35586860555758904,UP,long_break_skipped_other,,,,,,,,,,,,,
2025-09-05 12:30:00+00:00,JOBS,2026-06-19 19:26:19.475369+00:00,traded,3609.300048828125,3609.39990234375,3644.89990234375,3604.300048828125,3639.300048828125,40.599853515625,7.6749755859375,1.5446830602568298,UP,,1.0,2025-09-05 13:00:00+00:00,3645.6673999023437,2025-09-05 19:00:00+00:00,3646.5,3605.0675463867187,3726.8671069335937,time,83.26000976562682,59.26000976562682,983.2600097656268,-1966.7399902343732,
2025-09-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.476832+00:00,no_trade_taken,3654.89990234375,3654.89990234375,3682.0,3651.0,3666.60009765625,31.0,8.19998779296875,-2.6222031477332166,DOWN,,,,,,,,,,,,,,
2025-09-17 18:00:00+00:00,FOMC,2026-06-19 19:26:19.478064+00:00,no_trade_taken,3722.300048828125,3722.39990234375,3744.0,3679.5,3685.89990234375,64.5,8.139990234375,1.330537420665678,UP,,,,,,,,,,,,,,
2025-10-03 12:30:00+00:00,JOBS,2026-06-19 19:26:19.479294+00:00,traded,3885.300048828125,3885.39990234375,3899.5,3883.699951171875,3898.39990234375,15.800048828125,10.5749755859375,1.1335799804260205,UP,,1.0,2025-10-03 13:00:00+00:00,3900.5574975585937,2025-10-03 19:00:00+00:00,3910.89990234375,3884.7574487304687,3932.1575952148437,time,1034.2404785156305,1010.2404785156305,1624.2551269531305,-985.7546386718695,
2025-10-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.480769+00:00,traded,4093.199951171875,4093.199951171875,4105.60009765625,4092.300048828125,4099.2998046875,13.300048828125,22.125048828125,12.039125007023813,UP,,1.0,2025-10-13 13:00:00+00:00,4107.812602539063,2025-10-13 16:00:00+00:00,4134.412700195313,4094.512553710938,4134.412700195313,target,2660.009765625,2636.009765625,2938.7592773437063,-1041.2700195312937,
2025-10-29 18:00:00+00:00,FOMC,2026-06-19 19:26:19.482182+00:00,no_trade_taken,4009.0,4008.60009765625,4021.699951171875,3954.699951171875,3982.89990234375,67.0,20.6400146484375,1.1409401535152028,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
